host_response_time,host_response_rate,host_neighbourhood,host_listings_count,neighbourhood,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,price
,,Laranjeiras,1.0,Laranjeiras,Laranjeiras,Rio de Janeiro,22231-120,-22.93446,-43.1821,Apartment,Entire home/apt,2,2.0,1.0,1.0,Real Bed,,,$0.00,15,30,4,93.0,0.28,100.0
within an hour,100%,Copacabana,6.0,Copacabana,Copacabana,Rio de Janeiro,22070-000,-22.977629999999998,-43.18815,Apartment,Entire home/apt,5,1.0,1.0,4.0,Real Bed,$0.00,$75.00,$20.00,2,1125,2,90.0,1.03,220.0
within a day,100%,Ipanema,1.0,Ipanema,Ipanema,Rio de Janeiro,22421-020,-22.982860000000002,-43.20208,Apartment,Entire home/apt,7,2.5,2.0,4.0,Real Bed,"$2,000.00",$300.00,$0.00,5,15,1,60.0,0.06,1000.0
,,,1.0,Lapa,Centro,Rio de Janeiro,20031-040,-22.91092,-43.177609999999994,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,$0.00,1,1125,10,100.0,1.19,47.0
within a few hours,100%,Laranjeiras,5.0,Laranjeiras,Rio de Janeiro,Rio de Janeiro,22245-120,-22.94231,-43.191140000000004,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,$500.00,$100.00,$100.00,4,15,14,97.0,0.18,120.0
,,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22080-002,-22.98682,-43.19036,Apartment,Entire home/apt,3,1.5,1.0,1.0,Real Bed,$0.00,$150.00,$0.00,3,1125,1,100.0,0.28,397.0
,,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22640-085,-23.0026,-43.340140000000005,Apartment,Entire home/apt,4,1.5,1.0,1.0,Real Bed,,,$25.00,2,1124,69,96.0,2.03,249.0
within an hour,100%,Ipanema,1.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22071-110,-22.98527,-43.19529,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,$0.00,$200.00,$20.00,2,30,17,98.0,0.77,228.0
within a day,75%,Copacabana,38.0,Leblon,Rio de Janeiro,Rio de Janeiro,22450,-22.98674,-43.22945,Apartment,Entire home/apt,12,4.0,6.0,10.0,Real Bed,"$1,000.00",$400.00,$0.00,3,1125,19,96.0,0.69,1860.0
,,,2.0,Centro,Rio,Rio de Janeiro,20051,-22.90415,-43.18046,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$300.00,$120.00,$80.00,3,15,2,100.0,0.12,197.0
,,,1.0,Santa Teresa,Rio de Janeiro,RJ,20240-195,-22.91832,-43.187490000000004,Apartment,Private room,4,1.0,1.0,3.0,Real Bed,,$120.00,$75.00,4,1125,6,100.0,0.1,328.0
within an hour,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22050,-22.973110000000002,-43.188390000000005,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,$0.00,$250.00,$100.00,4,90,131,97.0,2.41,224.0
within a few hours,100%,Botafogo,1.0,Botafogo,Botafogo,Rio de Janeiro,22260-020,-22.94539,-43.1889,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,$0.00,$75.00,$50.00,5,30,2,100.0,0.36,154.0
within a few hours,100%,,2.0,Leme,Rio de Janeiro,RJ,22010-010,-22.962970000000002,-43.16615,Apartment,Entire home/apt,3,2.0,2.0,3.0,Real Bed,$371.00,$180.00,$30.00,10,1125,1,80.0,0.23,201.0
,,Copacabana,2.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22061-010,-22.97555,-43.19296,Apartment,Entire home/apt,7,3.0,3.0,7.0,Real Bed,$800.00,$200.00,$250.00,7,30,3,100.0,0.09,1100.0
,,Recreio dos Bandeirantes,1.0,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,22790-710,-23.01332,-43.44587,Apartment,Entire home/apt,4,3.0,2.0,2.0,Real Bed,$450.00,$150.00,$50.00,2,15,16,96.0,0.21,220.0
within a few hours,75%,Botafogo,2.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22270-010,-22.95348,-43.187509999999996,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,$0.00,$0.00,$150.00,1,730,50,98.0,1.43,62.0
within an hour,100%,Barra da Tijuca,7.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22630-012,-23.0107,-43.352470000000004,Serviced apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,$50.00,$50.00,2,1125,10,98.0,4.48,301.0
within a few hours,100%,Copacabana,2.0,Copacabana,Copacabana,Rio de Janeiro,22050-002,-22.96581,-43.17986,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,$0.00,$130.00,$0.00,2,15,1,100.0,0.28,73.0
within an hour,89%,Centro,1.0,Glória,Glória,Rio de Janeiro,20230,-22.915789999999998,-43.17642,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,$0.00,$30.00,$80.00,1,15,37,97.0,2.07,100.0
within an hour,100%,Ipanema,1.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22411-030,-22.98151,-43.19907,Apartment,Entire home/apt,7,3.0,3.0,4.0,Real Bed,"$1,930.00",$386.00,$77.00,4,1125,68,96.0,1.43,386.0
,,,1.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22420-000,-22.98454,-43.20674,Apartment,Entire home/apt,6,3.5,3.0,5.0,Real Bed,"$1,500.00",$300.00,$300.00,4,1125,6,100.0,0.09,1698.0
,,Barra da Tijuca,4.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22631-280,-23.00546,-43.340920000000004,Serviced apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,,,$70.00,2,1125,10,92.0,0.74,179.0
,,Copacabana,5.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22050-002,-22.96696,-43.18035,Apartment,Private room,6,1.5,1.0,1.0,Real Bed,"$1,000.00",,$80.00,1,15,166,98.0,3.23,14999.0
,,Recreio dos Bandeirantes,1.0,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,22790-702,-23.00836,-43.44202,Apartment,Entire home/apt,6,3.0,2.0,3.0,Real Bed,$500.00,$200.00,$0.00,4,30,1,100.0,0.03,749.0
,,,1.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22280,-22.956529999999997,-43.1854,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,,$100.00,$95.00,1,1125,2,60.0,0.06,195.0
within an hour,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22041-080,-22.970679999999998,-43.18671,Apartment,Entire home/apt,6,1.5,3.0,4.0,Real Bed,$450.00,$150.00,$50.00,3,30,50,99.0,1.22,228.0
within a few hours,88%,,2.0,Copacabana,Rio de Janeiro,RJ,20000000,-22.97383,-43.18714,Apartment,Entire home/apt,5,3.0,2.0,3.0,Real Bed,"$3,000.00",$200.00,$361.00,5,180,1,100.0,0.37,845.0
,,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22020-010,-22.9635,-43.17544,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,,,$0.00,1,7,1,100.0,0.28,151.0
,,Ipanema,1.0,Ipanema,Ipanema,Rio de Janeiro,22411-002,-22.98179,-43.21228,Apartment,Entire home/apt,6,2.5,3.0,6.0,Real Bed,"$3,000.00",$150.00,$0.00,5,10,4,95.0,0.24,598.0
within a few hours,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22050002,-22.97017,-43.18736,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"$1,000.00",$150.00,$0.00,1,1125,9,100.0,0.24,201.0
,,,1.0,Copacabana,Rio de Janeiro,RJ,22030001,-22.96392,-43.181540000000005,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"$1,168.00",$222.00,$0.00,1,1125,4,90.0,0.11,101.0
,,Copacabana,4.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22041,-22.96999,-43.18988,Hostel,Private room,5,1.0,1.0,3.0,Real Bed,$800.00,$0.00,$33.00,1,1125,22,87.0,0.63,112.0
within an hour,100%,Ipanema,7.0,Ipanema,Ipanema,Rio de Janeiro,22081-040,-22.98426,-43.194759999999995,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,"$1,000.00",$160.00,$0.00,2,89,11,96.0,0.64,255.0
,,Santa Teresa,4.0,Santa Teresa,Santa Teresa,RJ,20251-550,-22.91335,-43.193740000000005,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,,,$0.00,1,1125,1,60.0,0.28,131.0
within a day,93%,Barra da Tijuca,2.0,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,22775-113,-23.03025,-43.4748,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,,$120.00,$0.00,1,1125,44,88.0,0.93,282.0
within an hour,94%,Leblon,69.0,Leblon,Rio De Janeiro,Rio De Janeiro,22430-210,-22.98522,-43.22164,Apartment,Entire home/apt,3,0.0,1.0,3.0,Real Bed,"$2,000.00",$160.00,$50.00,2,1125,1,100.0,1.0,293.0
within a few hours,100%,Barra da Tijuca,1.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22793-006,-23.01045,-43.36728,Apartment,Entire home/apt,8,4.0,3.0,7.0,Real Bed,"$16,000.00",$200.00,$0.00,3,60,5,100.0,0.23,699.0
within an hour,100%,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22630,-23.01051,-43.359390000000005,Serviced apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,$0.00,$100.00,$0.00,2,1125,17,99.0,0.59,181.0
within an hour,100%,Copacabana,7.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22050-030,-22.97604,-43.18673,Apartment,Entire home/apt,6,1.5,2.0,2.0,Real Bed,,$219.00,$100.00,2,90,222,97.0,2.53,239.0
within a few hours,100%,Copacabana,2.0,Ipanema,Copacabana,Rio de Janeiro,22080-040,-22.98692,-43.19182,Apartment,Entire home/apt,3,2.0,1.0,2.0,Real Bed,,$200.00,$0.00,3,1125,2,100.0,0.43,262.0
within a day,100%,Centro,2.0,Centro,Rio de Janeiro,Rio de Janeiro,20240-050,-22.91712,-43.18785,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,$700.00,$130.00,$50.00,5,1125,2,90.0,0.07,109.0
,,Tijuca,2.0,Tijuca,Rio de Janeiro,Rio de Janeiro,20530-450,-22.945710000000002,-43.256809999999994,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,$0.00,1,1125,1,100.0,0.03,108.0
within a day,90%,Copacabana,9.0,Ipanema,Copacabana ,RJ,22080-040,-22.98689,-43.19007,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,$50.00,$30.00,1,120,7,83.0,0.91,170.0
within an hour,100%,Ipanema,58.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22410-000,-22.98333,-43.20431,Apartment,Entire home/apt,6,3.0,3.0,3.0,Real Bed,,,$0.00,1,1125,1,100.0,0.04,1158.0
within an hour,100%,,2.0,Centro,Rio de Janeiro,Rio de Janeiro,20031-040,-22.91252,-43.17933,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,$0.00,$0.00,$35.00,2,99,62,91.0,1.1,120.0
,,Ipanema,1.0,Ipanema,Ipanema,Rio de Janeiro,22411-001,-22.98498,-43.19784,Apartment,Entire home/apt,5,2.0,3.0,4.0,Real Bed,"$1,500.00",$150.00,$350.00,6,15,2,80.0,0.35,598.0
a few days or more,0%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22050-002,-22.96323,-43.173809999999996,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,,$130.00,$0.00,5,1125,7,97.0,0.17,135.0
within a few hours,100%,,2.0,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,22790-701,-23.02871,-43.47436,Apartment,Entire home/apt,6,2.5,2.0,3.0,Real Bed,,$150.00,$50.00,2,1125,56,96.0,1.86,208.0
a few days or more,0%,,2.0,,Rio de Janeiro,Rio de Janeiro,22780-799,-22.955270000000002,-43.37896,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,,,$107.00,4,1125,1,100.0,0.05,301.0
,,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22021-040,-22.965510000000002,-43.17819,Apartment,Entire home/apt,2,1.5,1.0,2.0,Real Bed,$500.00,$150.00,$0.00,3,1125,4,90.0,0.09,499.0
within a few hours,80%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22040,-22.972189999999998,-43.18626,Apartment,Entire home/apt,4,2.0,1.0,2.0,Real Bed,$400.00,$180.00,$100.00,1,1125,28,93.0,0.67,131.0
within a few hours,90%,,3.0,Copacabana,Rio de Janeiro,État de Rio de Janeiro,22060-020,-22.97673,-43.19082,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"$1,298.00",$346.00,$87.00,2,365,14,90.0,0.26,181.0
,,,0.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22021-020,-22.96357,-43.17702,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,,$110.00,$0.00,2,30,2,100.0,0.07,154.0
within an hour,100%,Flamengo,13.0,Copacabana,Rio de Janeiro,RJ,22061-020,-22.97499,-43.190059999999995,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"$1,000.00",$0.00,$750.00,1,1125,35,97.0,2.13,228.0
,,Copacabana,3.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22050-002,-22.9677,-43.1829,Apartment,Entire home/apt,6,2.0,2.0,6.0,Real Bed,,$120.00,$50.00,1,1125,8,98.0,0.19,288.0
within a few hours,90%,Leblon,1.0,Leblon,Rio de Janeiro,Rio de Janeiro,22430-210,-22.98345,-43.22132,Serviced apartment,Entire home/apt,3,1.0,1.0,3.0,Real Bed,$0.00,$160.00,$0.00,3,1125,3,100.0,0.78,220.0
within an hour,97%,Flamengo,313.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22011-010,-22.961470000000002,-43.1755,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,$0.00,$120.00,$0.00,2,730,1,60.0,0.09,69.0
within an hour,100%,,1.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22630-012,-23.01118,-43.33532,Loft,Private room,3,1.0,1.0,2.0,Real Bed,,,$0.00,3,10,2,100.0,0.25,131.0
,,Vidigal,5.0,Vidigal,Rio de Janeiro,Rio de Janeiro,22450-270,-22.99397,-43.238040000000005,Bed and breakfast,Shared room,4,4.0,1.0,4.0,Real Bed,,,$35.00,2,1125,1,100.0,0.02,31.0
,,,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22041060,-22.96415,-43.19039,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"$1,800.00",$144.00,$40.00,3,1125,3,100.0,0.09,301.0
,,Centro,1.0,Lapa,Rio de Janeiro,Rio de Janeiro,20230-014,-22.91406,-43.18951,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$0.00,$40.00,4,60,2,60.0,0.02,124.0
,,Laranjeiras,2.0,Laranjeiras,Rio de Janeiro,Rio de Janeiro,22221-070,-22.931520000000003,-43.18114,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,"$1,158.00",$39.00,$39.00,3,30,3,93.0,0.07,166.0
within a day,90%,Ipanema,5.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22420-010,-22.98395,-43.1978,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$500.00,$100.00,$50.00,2,90,6,93.0,0.15,201.0
a few days or more,0%,,2.0,Copacabana,Río de Janeiro,RJ,22021-030,-22.96736,-43.1793,Apartment,Entire home/apt,6,3.0,2.0,5.0,Real Bed,,$150.00,$0.00,3,1125,4,87.0,0.19,401.0
within an hour,100%,Copacabana,8.0,Copacabana,Copacabana,Rio de Janeiro,22021-020,-22.96623,-43.17607,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,$0.00,$160.00,$0.00,5,1125,1,100.0,0.06,389.0
within an hour,100%,Copacabana,5.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22011-002,-22.96438,-43.178670000000004,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,$500.00,$150.00,$0.00,10,1125,2,100.0,0.12,151.0
within a day,75%,Copacabana,38.0,Ipanema,Rio de janeiro,RJ,22420043,-22.9859,-43.21172,Apartment,Entire home/apt,6,3.5,3.0,4.0,Real Bed,"$1,000.00",$180.00,$0.00,3,1125,1,100.0,0.17,760.0
,,Estacio,2.0,Estacio,Rio de Janeiro,Rio de Janeiro,20260,-22.917089999999998,-43.20925,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,$0.00,$0.00,$50.00,1,1125,20,99.0,0.49,199.0
within an hour,100%,,1.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22630-010,-23.01101,-43.32732,Loft,Entire home/apt,4,1.0,0.0,1.0,Real Bed,,$150.00,$60.00,2,1125,26,99.0,2.67,251.0
within a day,100%,Recreio dos Bandeirantes,2.0,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,22795-030,-23.03152,-43.47723,Serviced apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$400.00,$140.00,$40.00,2,80,12,97.0,2.05,235.0
within a day,76%,Leblon,12.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22080-040,-22.987,-43.1902,Apartment,Entire home/apt,4,1.5,1.0,3.0,Real Bed,$400.00,$180.00,$0.00,2,1125,10,93.0,0.14,282.0
within a few hours,100%,,2.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22290,-22.95603,-43.176320000000004,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,$31.00,$0.00,3,1125,6,85.0,0.17,120.0
within an hour,100%,Barra da Tijuca,1.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22631-030,-23.00486,-43.32886,Serviced apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,$0.00,$120.00,$20.00,2,15,2,70.0,2.0,120.0
a few days or more,0%,Copacabana,2.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22060001,-22.97454,-43.189440000000005,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,$0.00,$0.00,$50.00,1,1125,5,100.0,0.09,100.0
within a few hours,100%,Ipanema,9.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22081-010,-22.98224,-43.194390000000006,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$600.00,$180.00,$30.00,3,1000,8,90.0,0.27,120.0
within an hour,100%,Copacabana,2.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22070,-22.974420000000002,-43.18934,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,$500.00,$170.00,$40.00,2,1125,60,96.0,1.31,120.0
,,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22040-001,-22.96935,-43.18466,Apartment,Entire home/apt,6,1.0,2.0,6.0,Real Bed,$0.00,$0.00,$50.00,2,8,2,100.0,0.35,401.0
,,Ipanema,2.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22410-003,-22.983810000000002,-43.198809999999995,Apartment,Private room,1,2.0,1.0,1.0,Real Bed,$330.00,$80.00,$0.00,1,1125,7,94.0,0.17,90.0
within a day,52%,,1.0,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio de Janeiro,,-23.0188,-43.48718,Serviced apartment,Private room,2,1.0,1.0,2.0,Real Bed,$0.00,$70.00,$0.00,2,365,23,96.0,1.32,66.0
within a few hours,70%,Copacabana,2.0,,Rio de Janeiro ,Rj,2104-1232,-22.93084,-43.3659,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,$0.00,3,1125,1,60.0,0.23,81.0
within an hour,93%,Copacabana,2.0,Copacabana,Copacabana,Rio de Janeiro,22060-001,-22.979689999999998,-43.19121,Apartment,Entire home/apt,6,1.5,2.0,5.0,Real Bed,"$1,000.00",$250.00,$60.00,2,1125,13,98.0,2.48,401.0
within a day,60%,Catete,1.0,Catete,Catete,Rio de Janeiro,22211-200,-22.9241,-43.17978,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,$600.00,$150.00,$50.00,2,1125,3,87.0,0.59,139.0
within an hour,100%,Copacabana,20.0,Copacabana,Copacabana,Rio de Janeiro,22051-002,-22.97514,-43.1921,Apartment,Entire home/apt,4,1.5,2.0,3.0,Real Bed,$0.00,$175.00,$50.00,2,1124,14,91.0,1.28,181.0
within an hour,100%,Barra da Tijuca,3.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22620-172,-23.01116,-43.32173,Condominium,Entire home/apt,3,1.0,1.0,2.0,Real Bed,$0.00,$80.00,$80.00,3,1125,14,93.0,0.81,239.0
within an hour,100%,Ipanema,2.0,Ipanema,Rio de Janeiro - Ipanema,Rio de Janeiro,22410-002,-22.983810000000002,-43.21463,Condominium,Entire home/apt,4,1.0,2.0,4.0,Real Bed,$980.00,$195.00,$0.00,2,28,60,97.0,1.73,336.0
,,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22011-060,-22.9655,-43.178940000000004,Apartment,Entire home/apt,4,2.0,1.0,2.0,Real Bed,,,$0.00,1,1125,3,100.0,0.09,249.0
within an hour,100%,,2.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22775-130,-22.97091,-43.39275,Condominium,Entire home/apt,4,2.0,2.0,3.0,Real Bed,"$2,500.00",$120.00,$50.00,3,50,9,96.0,0.26,139.0
,,,1.0,Leblon,Rio de Janeiro,Rio de Janeiro,22440,-22.984270000000002,-43.222190000000005,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,$120.00,$90.00,1,600,5,96.0,0.14,798.0
within an hour,100%,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22050-002,-22.97264,-43.18744,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,$0.00,$0.00,$0.00,2,1125,26,98.0,2.74,147.0
within a few hours,100%,,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22051-011,-22.97343,-43.190259999999995,Apartment,Entire home/apt,6,1.5,2.0,4.0,Real Bed,"$1,000.00",$225.00,$55.00,4,40,18,99.0,0.52,262.0
within a few hours,100%,Leblon,1.0,Leblon,Leblon,Rio de Janeiro,22441-090,-22.98395,-43.224779999999996,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$900.00,$150.00,$0.00,2,1125,2,100.0,0.63,401.0
within an hour,100%,Botafogo,7.0,Botafogo,Rio,Rio de Janeiro,22290-030,-22.95211,-43.18222,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,$180.00,$0.00,4,1125,2,90.0,0.23,131.0
,,Glória,1.0,Glória,Rio,Rio de Janeiro,23060-730,-22.92156,-43.177479999999996,Apartment,Private room,2,3.0,1.0,2.0,Real Bed,,,$20.00,1,1125,11,91.0,0.2,39.0
,,Jardim Botânico,1.0,Jardim Botânico,Rio de Janeiro,Rio de Janeiro,22470,-22.96225,-43.21841,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$500.00,$100.00,$80.00,2,1125,3,93.0,0.08,129.0
a few days or more,40%,Botafogo,2.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22260-000,-22.95345,-43.19363,Hostel,Shared room,1,4.0,1.0,6.0,Real Bed,,,$42.00,1,1125,28,84.0,0.8,54.0
within an hour,98%,,3.0,,Vargem Grande,Rio de Janeiro,22785-091,-23.0042,-43.51039,House,Entire home/apt,16,4.5,4.0,9.0,Real Bed,,$180.00,$0.00,1,1125,1,60.0,1.0,1351.0
within a day,100%,,5.0,Tijuca,Rio,Rio de Janeiro,20530-460,-22.9449,-43.25935,Bed and breakfast,Shared room,5,1.5,1.0,5.0,Real Bed,,,$100.00,5,1125,8,93.0,0.12,100.0
within a day,90%,Copacabana,130.0,Leblon,Rio de Janeiro,Rio de Janeiro,22430-190,-22.98085,-43.221709999999995,Apartment,Entire home/apt,8,2.5,3.0,3.0,Real Bed,$0.00,$200.00,$0.00,3,1125,1,80.0,0.28,853.0
within an hour,100%,Copacabana,3.0,Copacabana,Rio de Janeiro,RJ,22080-010,-22.9822,-43.1896,Apartment,Entire home/apt,4,2.0,1.0,2.0,Real Bed,$239.00,$100.00,$50.00,2,365,76,89.0,0.78,131.0
,,Rio Comprido,1.0,Rio Comprido,Rio de Janeiro,Rio de Janeiro,20261-241,-22.92734,-43.20963,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,,,$0.00,3,7,1,100.0,0.01,289.0
within an hour,100%,,2.0,Copacabana,Copacabana,Rio de Janeiro,22031,-22.96921,-43.18319,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,$0.00,1,17,17,98.0,1.01,139.0
,,Ipanema,1.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22420-043,-22.984479999999998,-43.21392,Apartment,Entire home/apt,4,3.0,2.0,2.0,Real Bed,"$3,000.00",$150.00,$200.00,3,1125,2,100.0,0.12,699.0
,,,3.0,,Rio de Janeiro,RJ,21741-110,-22.887220000000003,-43.39347,House,Private room,2,1.0,1.0,1.0,Real Bed,,$100.00,$0.00,1,1125,1,100.0,0.03,301.0
within an hour,100%,Gávea,14.0,Leblon,Rio de Janeiro,RJ,22430-090,-22.98002,-43.220620000000004,Apartment,Entire home/apt,10,2.0,3.0,4.0,Real Bed,"$1,500.00",$160.00,$90.00,3,30,3,93.0,0.17,289.0
,,Catete,1.0,Catete,Flamengo,Rio de Janeiro,22210-030,-22.92795,-43.17805,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,$0.00,$0.00,$100.00,3,30,1,100.0,0.28,154.0
within an hour,70%,Leblon,1.0,Leblon,Leblon,Rio de Janeiro,22431-002,-22.98241,-43.22435,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,,$40.00,$50.00,1,31,13,88.0,1.16,452.0
,,Ipanema,1.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22421-020,-22.981279999999998,-43.20304,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,,,$0.00,7,1125,1,100.0,0.02,401.0
,,,1.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22793926,-23.00985,-43.36411,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$0.00,$150.00,$70.00,3,1125,2,100.0,0.13,187.0
within an hour,97%,Copacabana,45.0,Ipanema,Rio De Janeiro,Rio De Janeiro,22410-003,-22.98505,-43.196220000000004,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$154.00,$39.00,2,30,1,100.0,0.05,232.0
within a few hours,100%,,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22020,-22.96278,-43.17425,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$140.00,$40.00,2,60,76,99.0,1.8,178.0
within a day,64%,Botafogo,2.0,Botafogo,Botafogo,RJ,22231-010,-22.941270000000003,-43.18265,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,$0.00,$100.00,$0.00,1,1125,1,100.0,0.4,89.0
,,,1.0,Rio Comprido,Rio de Janeiro,Rio de Janeiro,20250-450,-22.92267,-43.20868,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,,,$42.00,1,1125,1,100.0,0.03,232.0
