host_response_time,host_response_rate,host_neighbourhood,host_listings_count,neighbourhood,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,price
within an hour,100%,Glória,10.0,Flamengo,Flamengo,Rio de Janeiro,22221-000,-22.92669,-43.17307,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"$1,000.00",$130.00,$30.00,7,32,3,100.0,0.16,125.0
a few days or more,33%,Santa Teresa,3.0,Santa Teresa,Rio de Janeiro,Rio de Janeiro,20241-080,-22.91881,-43.17858,Apartment,Entire home/apt,6,1.0,1.0,6.0,Real Bed,,$200.00,$30.00,4,30,1,80.0,0.03,301.0
within a day,60%,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22780-160,-22.96773,-43.39618,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,$0.00,$250.00,$0.00,4,30,3,87.0,0.09,799.0
within a few hours,100%,,1.0,,Jacarepagua,Rio de Janeiro,22775-033,-22.9638,-43.38562,Condominium,Entire home/apt,6,2.5,3.0,3.0,Real Bed,$0.00,$150.00,$0.00,2,270,5,100.0,0.24,208.0
within an hour,100%,Catete,2.0,Catete,Catete,Rio de Janeiro,22221-010,-22.92964,-43.17975,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"$5,000.00",$70.00,$0.00,1,10,1,100.0,0.5,93.0
,,Barra da Tijuca,1.0,,Rio de Janeiro,Rio de Janeiro,21920-001,-22.79676,-43.20009,Apartment,Entire home/apt,4,1.0,3.0,3.0,Real Bed,$700.00,$130.00,$50.00,2,365,5,95.0,0.14,104.0
within a few hours,100%,Copacabana,6.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22040-002,-22.96919,-43.18886,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,,,$0.00,1,1125,29,79.0,0.6,185.0
within an hour,100%,Andaraí,2.0,Penha,Rio de Janeiro,Rio de Janeiro,21020-030,-22.83875,-43.27959,House,Private room,2,1.0,1.0,2.0,Real Bed,$0.00,$0.00,$28.00,2,1125,29,99.0,1.11,43.0
,,,1.0,Ipanema,Rio de Janeiro,RJ,22411001,-22.98316,-43.19729,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,$195.00,$0.00,1,25,2,100.0,0.06,584.0
a few days or more,0%,,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,,-22.96473,-43.176790000000004,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,,$100.00,$0.00,1,30,6,100.0,0.17,201.0
